#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Pseudomonas aeruginosa PAO1","Bacteria;Proteobacteria;Gammaproteobacteria","PAO1","SAMN02603714","PRJNA331","GCA_000006765.1","Complete",6.2644,66.6,"chromosome:NC_002516.2/AE004091.2",,1,5572,"2000-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC10332","SAMEA2479570","PRJEB6403","GCA_001457615.1","Complete",6.31698,66.5,"chromosome 1:NZ_LN831024.1/LN831024.1",,1,5658,"2015-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/615/GCA_001457615.1_NCTC10332","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/615/GCF_001457615.1_NCTC10332"
"Pseudomonas aeruginosa DSM 50071 = NBRC 12689","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 50071","SAMN03761153","PRJNA285827","GCA_001045685.1","Complete",6.31705,66.5,"chromosome:NZ_CP012001.1/CP012001.1",,1,5734,"2015-07-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/045/685/GCA_001045685.1_ASM104568v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/045/685/GCF_001045685.1_ASM104568v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","PAC1","SAMN14970706","PRJNA633788","GCA_013201115.1","Complete",7.56438,65.4,"chromosome:NZ_CP053706.1/CP053706.1",,1,6825,"2020-05-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/201/115/GCA_013201115.1_ASM1320111v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/201/115/GCF_013201115.1_ASM1320111v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","Carb01 63","SAMN03389320","PRJNA281807","GCA_000981825.1","Complete",7.49759,65.6,"chromosome:NZ_CP011317.1/CP011317.1",,1,6964,"2015-04-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/825/GCA_000981825.1_ASM98182v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/825/GCF_000981825.1_ASM98182v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","Pa1207","SAMN05020325","PRJNA389181","GCA_002208645.1","Complete",7.41186,65.7,"chromosome:NZ_CP022001.1/CP022001.1",,1,6736,"2017-06-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/645/GCA_002208645.1_ASM220864v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/645/GCF_002208645.1_ASM220864v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","RIVM-EMC2982","SAMN05583819","PRJNA339235","GCA_002085605.1","Complete",7.38006,65.7,"chromosome:NZ_CP016955.1/CP016955.1",,1,6823,"2017-04-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/085/605/GCA_002085605.1_ASM208560v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/085/605/GCF_002085605.1_ASM208560v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","1811-13R031","SAMN13267614","PRJNA589136","GCA_009676765.1","Complete",7.34408,65.8,"chromosome:NZ_CP046061.1/CP046061.1",,1,6789,"2019-11-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/676/765/GCA_009676765.1_ASM967676v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/676/765/GCF_009676765.1_ASM967676v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","1811-18R001","SAMN13267615","PRJNA589137","GCA_009676785.1","Complete",7.343,65.8,"chromosome:NZ_CP046060.1/CP046060.1",,1,6786,"2019-11-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/676/785/GCA_009676785.1_ASM967678v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/676/785/GCF_009676785.1_ASM967678v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","F30658","SAMN02894357","PRJNA253624","GCA_001516265.1","Complete",7.27326,65.8,"chromosome:NZ_CP008857.1/CP008857.1",,1,6620,"2016-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/265/GCA_001516265.1_ASM151626v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/265/GCF_001516265.1_ASM151626v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","AR442","SAMN07291535","PRJNA316321","GCA_003073795.1","Complete",7.26757,65.8,"chromosome:NZ_CP029090.1/CP029090.1",,1,6798,"2018-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/795/GCA_003073795.1_ASM307379v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/073/795/GCF_003073795.1_ASM307379v1"
"Pseudomonas aeruginosa","Bacteria;Proteobacteria;Gammaproteobacteria","Pa58","SAMN05020321","PRJNA389181","GCA_002192495.1","Complete",7.24158,65.8,"chromosome:NZ_CP021775.1/CP021775.1",,1,6569,"2017-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/192/495/GCA_002192495.1_ASM219249v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/495/GCF_002192495.1_ASM219249v1"
